movieId,title,year,genres,imdb_rating,mood
1,Toy Story,1995,Adventure Animation Children Comedy Fantasy,8.4,Excitement
2,Jumanji,1995,Adventure Children Fantasy,6.0,Excitement
3,Grumpier Old Men,1995,Comedy Romance,8.6,Happy
4,Waiting to Exhale,1995,Comedy Drama Romance,6.6,Happy
5,Father of the Bride Part II,1995,Comedy,7.0,Happy
6,Heat,1995,Action Crime Thriller,6.1,Excitement
7,Sabrina,1995,Comedy Romance,8.5,Happy
8,Tom and Huck,1995,Adventure Children,6.6,Excitement
9,Sudden Death,1995,Action,6.5,Excitement
10,GoldenEye,1995,Action Adventure Thriller,8.1,Excitement
11,The American President,1995,Comedy Drama Romance,8.6,Happy
12,Dracula: Dead and Loving It,1995,Comedy Horror,7.1,Happy
13,Balto,1995,Adventure Animation Children,5.6,Excitement
14,Nixon,1995,Drama,8.4,Emotional
15,Cutthroat Island,1995,Action Adventure Romance,6.1,Excitement
16,Casino,1995,Crime Drama,6.7,Curious
17,Sense and Sensibility,1995,Drama Romance,6.8,Emotional
18,Four Rooms,1995,Comedy,6.6,Happy
19,Ace Ventura: When Nature Calls,1995,Comedy,6.8,Happy
20,Money Train,1995,Action Comedy Crime Drama Thriller,7.6,Excitement
21,Get Shorty,1995,Comedy Crime Thriller,6.4,Happy
22,Copycat,1995,Crime Drama Horror Mystery Thriller,6.4,Curious
23,Assassins,1995,Action Crime Thriller,7.3,Excitement
24,Powder,1995,Drama Sci-Fi,8.1,Emotional
25,Leaving Las Vegas,1995,Drama Romance,6.8,Emotional
26,Othello,1995,Drama,6.7,Emotional
27,Now and Then,1995,Children Drama,8.0,Joy
28,Persuasion,1995,Drama Romance,7.0,Emotional
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,Adventure Drama Fantasy Mystery Sci-Fi,6.0,Excitement
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Crime Drama,5.0,Curious
31,Dangerous Minds,1995,Drama,6.0,Emotional
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery Sci-Fi Thriller,6.1,Curious
33,Wings of Courage,1995,Adventure Romance IMAX,6.1,Excitement
34,Babe,1995,Children Drama,6.8,Joy
35,Carrington,1995,Drama Romance,4.2,Emotional
36,Dead Man Walking,1995,Crime Drama,7.3,Curious
37,Across the Sea of Time,1995,Documentary IMAX,6.4,Inspired
38,It Takes Two,1995,Children Comedy,7.7,Joy
39,Clueless,1995,Comedy Romance,8.2,Happy
40,"Cry, the Beloved Country",1995,Drama,5.8,Emotional
41,Richard III,1995,Drama War,6.2,Emotional
42,Dead Presidents,1995,Action Crime Drama,7.1,Excitement
43,Restoration,1995,Drama,6.8,Emotional
44,Mortal Kombat,1995,Action Adventure Fantasy,5.6,Excitement
45,To Die For,1995,Comedy Drama Thriller,6.5,Happy
46,How to Make an American Quilt,1995,Drama Romance,7.2,Emotional
47,Seven (a.k.a. Se7en),1995,Mystery Thriller,5.5,Curious
48,Pocahontas,1995,Animation Children Drama Musical Romance,5.3,Joy
