movieId,title,year,genres,imdb_rating
1,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy,8.4
2,Jumanji,1995,Adventure|Children|Fantasy,6.0
3,Grumpier Old Men,1995,Comedy|Romance,8.6
4,Waiting to Exhale,1995,Comedy|Drama|Romance,6.6
5,Father of the Bride Part II,1995,Comedy,7.0
6,Heat,1995,Action|Crime|Thriller,6.1
7,Sabrina,1995,Comedy|Romance,8.5
8,Tom and Huck,1995,Adventure|Children,6.6
9,Sudden Death,1995,Action,6.5
10,GoldenEye,1995,Action|Adventure|Thriller,8.1
11,The American President,1995,Comedy|Drama|Romance,8.6
12,Dracula: Dead and Loving It,1995,Comedy|Horror,7.1
13,Balto,1995,Adventure|Animation|Children,5.6
14,Nixon,1995,Drama,8.4
15,Cutthroat Island,1995,Action|Adventure|Romance,6.1
16,Casino,1995,Crime|Drama,6.7
17,Sense and Sensibility,1995,Drama|Romance,6.8
18,Four Rooms,1995,Comedy,6.6
19,Ace Ventura: When Nature Calls,1995,Comedy,6.8
20,Money Train,1995,Action|Comedy|Crime|Drama|Thriller,7.6
21,Get Shorty,1995,Comedy|Crime|Thriller,6.4
22,Copycat,1995,Crime|Drama|Horror|Mystery|Thriller,6.4
23,Assassins,1995,Action|Crime|Thriller,7.3
24,Powder,1995,Drama|Sci-Fi,8.1
25,Leaving Las Vegas,1995,Drama|Romance,6.8
26,Othello,1995,Drama,6.7
27,Now and Then,1995,Children|Drama,8.0
28,Persuasion,1995,Drama|Romance,7.0
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,Adventure|Drama|Fantasy|Mystery|Sci-Fi,6.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Crime|Drama,5.0
31,Dangerous Minds,1995,Drama,6.0
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery|Sci-Fi|Thriller,6.1
33,Wings of Courage,1995,Adventure|Romance|IMAX,6.1
34,Babe,1995,Children|Drama,6.8
35,Carrington,1995,Drama|Romance,4.2
36,Dead Man Walking,1995,Crime|Drama,7.3
37,Across the Sea of Time,1995,Documentary|IMAX,6.4
38,It Takes Two,1995,Children|Comedy,7.7
39,Clueless,1995,Comedy|Romance,8.2
40,"Cry, the Beloved Country",1995,Drama,5.8
41,Richard III,1995,Drama|War,6.2
42,Dead Presidents,1995,Action|Crime|Drama,7.1
43,Restoration,1995,Drama,6.8
44,Mortal Kombat,1995,Action|Adventure|Fantasy,5.6
45,To Die For,1995,Comedy|Drama|Thriller,6.5
